url,Company
https://www.owler.com/company/saudiarabianoilcompany,Saudi Arabian Oil Co
https://www.owler.com/company/petrobras,Petróleo Brasileiro SA - Petrobras
https://www.owler.com/company/lukoil,PJSC LUKOIL
https://www.owler.com/company/exxonmobil,Exxon Mobil Corp
https://www.owler.com/company/gazprom-neft,Public JSC Gazprom
https://www.owler.com/company/totalenergies,TotalEnergies SE
https://www.owler.com/company/equinorasa,Equinor ASA
https://www.owler.com/company/chevron,Chevron Corp
https://www.owler.com/company/shell,Shell plc
https://www.owler.com/company/conocophillips,ConocoPhillips
https://www.owler.com/company/cnoocltd,CNOOC Ltd
https://www.owler.com/company/chinashenhua,China Shenhua Energy Co Ltd
https://www.owler.com/company/ongcindia,Oil & Natural Gas Corp Ltd
https://www.owler.com/company/eon,E.ON SE
https://www.owler.com/company/surgutneftegas,Surgutneftegas Public JSC
https://www.owler.com/company/petrochina,PetroChina Co Ltd
https://www.owler.com/company/eni,Eni S.p.A.
https://www.owler.com/company/cnrl,Canadian Natural Resources Ltd
https://www.owler.com/company/bp,BP p.l.c.
https://www.owler.com/company/eneosholdings,"ENEOS Holdings, Inc"
https://www.owler.com/company/ril,Reliance Industries Ltd
https://www.owler.com/company/energytransfer,Energy Transfer LP
https://www.owler.com/company/enterpriseproducts,Enterprise Products Partners LP
https://www.owler.com/company/iocl,Indian Oil Corp Ltd
https://www.owler.com/company/eogresources,"EOG Resources, Inc"
https://www.owler.com/company/suncor,Suncor Energy Inc
https://www.owler.com/company/tatneft,PJSC Tatneft
https://www.owler.com/company/edf,Electricité de France SA
https://www.owler.com/company/engie,ENGIE SA
https://www.owler.com/company/ecopetrol,Ecopetrol SA
https://www.owler.com/company/repsol,"Repsol, SA"
https://www.owler.com/company/idemitsu,"Idemitsu Kosan Co,Ltd"
https://www.owler.com/company/enbridge,Enbridge Inc
https://www.owler.com/company/pttplc,PTT Plc
https://www.owler.com/company/orlen,Polski Koncern Naftowy ORLEN Spó_ka Akcyjna
https://www.owler.com/company/nrg,"NRG Energy, Inc"
https://www.owler.com/company/omv,OMV Aktiengesellschaft
https://www.owler.com/company/iberdrola,"Iberdrola, SA"
https://www.owler.com/company/enel,Enel SpA
https://www.owler.com/company/bharatpetroleum,Bharat Petroleum Corp Ltd
https://www.owler.com/company/duke-energy,Duke Energy Corp
https://www.owler.com/company/coalindia,Coal India Ltd
https://www.owler.com/company/devonenergy,Devon Energy Corp
https://www.owler.com/company/sse,SSE plc
https://www.owler.com/company/empresascopec,Empresas Copec SA
https://www.owler.com/company/nexteraenergy,"NextEra Energy, Inc"
https://www.owler.com/company/cypc,"China Yangtze Power Co, Ltd"
https://www.owler.com/company/oxy,Occidental Petroleum Corp
https://www.owler.com/company/pxd,Pioneer Natural Resources Co
https://www.owler.com/company/transneft,Public JSC Transneft
https://www.owler.com/company/aep,"American Electric Power Co, Inc"
https://www.owler.com/company/nationalgrid,National Grid plc
https://www.owler.com/company/phillips66,Phillips 66
https://www.owler.com/company/ntpc,NTPC Ltd
https://www.owler.com/company/fpcc,Formosa Petrochemical Corp
https://www.owler.com/company/thesoco,The Southern Co
https://www.owler.com/company/dominionenergy,"Dominion Energy, Inc"
https://www.owler.com/company/exeloncorp,Exelon Corp
https://www.owler.com/company/neste,Neste Oyj
https://www.owler.com/company/pgnig,Polskie Górnictwo Naftowe i Gazownictwo SA
https://www.owler.com/company/molgroup,MOL Hungarian Oil & Gas Co
https://www.owler.com/company/marathonpetroleum,Marathon Petroleum Corp
https://www.owler.com/company/oneok,"ONEOK, Inc"
https://www.owler.com/company/fortum,Fortum Oyj
https://www.owler.com/company/interrao,Public JSC Inter RAO UES
https://www.owler.com/company/orsted,Ørsted A/S
https://www.owler.com/company/naturgy,"Naturgy Energy Group, SA"
https://www.owler.com/company/xcelenergy,Xcel Energy Inc
https://www.owler.com/company/centrica,Centrica plc
https://www.owler.com/company/woodside,Woodside Energy Group Ltd
https://www.owler.com/company/taqaglobal,Abu Dhabi National Energy Co PJSC
https://www.owler.com/company/cosmo-oil,"Cosmo Energy Holdings Co, Ltd"
https://www.owler.com/company/chk,Chesapeake Energy Corp
https://www.owler.com/company/valero,Valero Energy Corp
https://www.owler.com/company/saudielectricity,Saudi Electricity Co
https://www.owler.com/company/ennenergy,ENN Energy Holdings Ltd
https://www.owler.com/company/gailonline,GAIL (India) Ltd
https://www.owler.com/company/diamondbackenergy,"Diamondback Energy, Inc"
https://www.owler.com/company/kindermorgan,"Kinder Morgan, Inc"
https://www.owler.com/company/inpexcorporation,Inpex Corp
https://www.owler.com/company/ovintiv,Ovintiv Inc
https://www.owler.com/company/powergridcorporationofindialtd,Power Grid Corp of India Ltd
https://www.owler.com/company/williams,"The Williams Companies, Inc"
https://www.owler.com/company/rwe,RWE Aktiengesellschaft
https://www.owler.com/company/dubaielectricitywaterauthority,Dubai Electricity & Water Authority (PJSC)
https://www.owler.com/company/ugicorp,UGI Corp
https://www.owler.com/company/conedsolutions,"Consolidated Edison, Inc"
https://www.owler.com/company/wecenergygroup,"WEC Energy Group, Inc"
https://www.owler.com/company/behl,Beijing Enterprises Holdings Ltd
https://www.owler.com/company/contres,"Continental Resources, Inc"
https://www.owler.com/company/cgnp,"CGN Power Co, Ltd"
https://www.owler.com/company/raizen1,Raizen SA
https://www.owler.com/company/firstenergycorp,FirstEnergy Corp
https://www.owler.com/company/cnpc,Kunlun Energy Co Ltd
https://www.owler.com/company/clpgroup,CLP Holdings Ltd
https://www.owler.com/company/sempra,Sempra
https://www.owler.com/company/chinagasholdings,China Gas Holdings Ltd
https://www.owler.com/company/gkpge,Polska Grupa Energetyczna SA
https://www.owler.com/company/entergy,Entergy Corp
https://www.owler.com/company/eversource,Eversource Energy
https://www.owler.com/company/osakagas,"Osaka Gas Co, Ltd"
https://www.owler.com/company/apagroup,APA Corp
https://www.owler.com/company/tcenergy,TC Energy Corp
https://www.owler.com/company/eletrobras,Centrais Elétricas Brasileiras SA-Eletrobrás
https://www.owler.com/company/rosseti,"Rosseti, Public JSC"
https://www.owler.com/company/dteenergy,DTE Energy Co
https://www.owler.com/company/akerbp,Aker BP ASA
https://www.owler.com/company/cpfl,CPFL Energia SA
https://www.owler.com/company/edison,Edison International
https://www.owler.com/company/enbw,EnBW Energie Baden-Württemberg AG
https://www.owler.com/company/snam,Snam S.p.A.
https://www.owler.com/company/thekansaielectricpowercoinc,"The Kansai Electric Power Co, Incorporated"
https://www.owler.com/company/cnnc,"China National Nuclear Power Co, Ltd"
https://www.owler.com/company/tourmalineoil,Tourmaline Oil Corp
https://www.owler.com/company/kogas,Korea Gas Corp
https://www.owler.com/company/ameren,Ameren Corp
https://www.owler.com/company/verbund,VERBUND AG
https://www.owler.com/company/tokyo-gas,"Tokyo Gas Co,Ltd"
https://www.owler.com/company/tenaganasionalberhad,Tenaga Nasional Berhad
https://www.owler.com/company/edpenergiasdeportugal,"EDP-Energias de Portugal, SA"
https://www.owler.com/company/sinclairoil,HF Sinclair Corp
https://www.owler.com/company/a2a,A2A S.p.A.
https://www.owler.com/company/veolianorthamerica,Veolia Environnement SA
https://www.owler.com/company/coterra,Coterra Energy Inc
https://www.owler.com/company/cenovus,Cenovus Energy Inc
https://www.owler.com/company/marathonoil,Marathon Oil Corp
https://www.owler.com/company/evergyinc,"Evergy, Inc"
https://www.owler.com/company/pembina,Pembina Pipeline Corp
https://www.owler.com/company/fortisinc,Fortis Inc
https://www.owler.com/company/rushydro,Public JSC Federal Hydro-Generating Co - RusHydro
https://www.owler.com/company/cmsenergy,CMS Energy Corp
https://www.owler.com/company/cez,"CEZ, a. s."
https://www.owler.com/company/brookfieldinfrastructure,Brookfield Infrastructure Partners LP
https://www.owler.com/company/cemig,Companhia Energetica de Minas Gerais
https://www.owler.com/company/clypg,China Longyuan Power Group Corp Ltd
https://www.owler.com/company/petrorabigh,Rabigh Refining & Petrochemical Co
https://www.owler.com/company/ptadaroenergytbk,PT Adaro Energy Indonesia Tbk
https://www.owler.com/company/hydroone,Hydro One Ltd
https://www.owler.com/company/equatorialenergia,Equatorial Energia SA
https://www.owler.com/company/crescentpointenergy,Crescent Point Energy Corp
https://www.owler.com/company/centerpointenergy,"CenterPoint Energy, Inc"
https://www.owler.com/company/towngaschina,The Hong Kong & China Gas Co Ltd
https://www.owler.com/company/companhiaparanaensedeenergia,Companhia Paranaense de Energia - COPEL
https://www.owler.com/company/tepco,"Tokyo Electric Power Co Holdings, Incorporated"
https://www.owler.com/company/skinnovation,"SK Innovation Co, Ltd"
https://www.owler.com/company/oge,OGE Energy Corp
https://www.owler.com/company/lotos,Grupa LOTOS SA
https://www.owler.com/company/ternaspa,Terna SpA
https://www.owler.com/company/meralco,Manila Electric Co
https://www.owler.com/company/hess,Hess Corp
https://www.owler.com/company/heragroup,Hera S.p.A.
https://www.owler.com/company/magellanlp,"Magellan Midstream Partners, LP"
https://www.owler.com/company/pinnaclewest,Pinnacle West Capital Corp
https://www.owler.com/company/ampollimited,Ampol Ltd
https://www.owler.com/company/energisa,Energisa SA
https://www.owler.com/company/santos,Santos Ltd
https://www.owler.com/company/yqmy,"Shan Xi Huayang Group New Energy Co,Ltd"
https://www.owler.com/company/alliantenergy,Alliant Energy Corp
https://www.owler.com/company/oil-india,Oil India Ltd
https://www.owler.com/company/energydevelopment,"Electric Power Development Co, Ltd"
https://www.owler.com/company/ctgpc,"China Three Gorges Renewables (Group) Co,Ltd"
https://www.owler.com/company/atmosenergy,Atmos Energy Corp
https://www.owler.com/company/arcresources,ARC Resources Ltd
https://www.owler.com/company/pbfenergy,PBF Energy Inc
https://www.owler.com/company/nisource,NiSource Inc
https://www.owler.com/company/helpe,Hellenic Petroleum Holdings Societe Anonyme
https://www.owler.com/company/adanipower,Adani Power Ltd
https://www.owler.com/company/pagp,"Plains GP Holdings, LP"
https://www.owler.com/company/pgecorp,PG&E Corp
https://www.owler.com/company/cki,CK Infrastructure Holdings Ltd
https://www.owler.com/company/ree,"Red Eléctrica Corporación, SA"
https://www.owler.com/company/acciona-windpower,"Acciona, SA"
https://www.owler.com/company/kepco,Korea Electric Power Corp
https://www.owler.com/company/mainova,Mainova AG
https://www.owler.com/company/cr-power,China Resources Power Holdings Co Ltd
https://www.owler.com/company/mvvuk,MVV Energie AG
https://www.owler.com/company/dcpmidstream,"DCP Midstream, LP"
https://www.owler.com/company/sdicpower,"SDIC Power Holdings Co, Ltd"
https://www.owler.com/company/600795,"GD Power Development Co,Ltd"
https://www.owler.com/company/thaioilgroup,Thai Oil Pcl
https://www.owler.com/company/gelsenwasser,Gelsenwasser AG
https://www.owler.com/company/enea,ENEA SA
https://www.owler.com/company/huanengpowerinternational,"Huaneng Power International, Inc"
https://www.owler.com/company/emera,Emera Incorporated
https://www.owler.com/company/kyuden,"Kyushu Electric Power Co, Incorporated"
https://www.owler.com/company/hawaiianelectric,"Hawaiian Electric Industries, Inc"
https://www.owler.com/company/powerassets,Power Assets Holdings Ltd
https://www.owler.com/company/irenambiente,Iren SpA
https://www.owler.com/company/bkwag,BKW AG
https://www.owler.com/company/constellation,Constellation Energy Corp
https://www.owler.com/company/chuden,"Chubu Electric Power Co, Incorporated"
https://www.owler.com/company/delek-group,Delek Group Ltd
https://www.owler.com/company/rangeresources,Range Resources Corp
https://www.owler.com/company/hd-hyundai,"HD Hyundai Co, Ltd"
https://www.owler.com/company/grupoenergiabogota,Grupo Energía Bogotá SA E.S.P.
https://www.owler.com/company/isa3,Interconexión Eléctrica SA E.S.P.
https://www.owler.com/company/tatapower,The Tata Power Co Ltd
https://www.owler.com/company/colbun,Colbún SA
https://www.owler.com/company/ultrapar,Ultrapar Participações SA
https://www.owler.com/company/evnag,EVN AG
https://www.owler.com/company/altagas,AltaGas Ltd
https://www.owler.com/company/aboitizpower,Aboitiz Power Corp
https://www.owler.com/company/banpu,Banpu Pcl
https://www.owler.com/company/italgas,Italgas S.p.A.
https://www.owler.com/company/nationalfuelgas,National Fuel Gas Co
https://www.owler.com/company/nhpc,NHPC Ltd
https://www.owler.com/company/galp,"Galp Energia, SGPS, SA"
https://www.owler.com/company/dtpower,"Datang International Power Generation Co, Ltd"
https://www.owler.com/company/cheniere,"Cheniere Energy, Inc"
https://www.owler.com/company/wfscorp,World Fuel Services Corp
https://www.owler.com/company/targaresources,Targa Resources Corp
https://www.owler.com/company/tohokuelectricpower,"Tohoku Electric Power Co, Incorporated"
https://www.owler.com/company/pgn,PT Perusahaan Gas Negara Tbk
https://www.owler.com/company/hdpi,Huadian Power International Corp Ltd
https://www.owler.com/company/pseg,Public Service Enterprise Group Incorporated
https://www.owler.com/company/elia,Elia Group SA/NV
https://www.owler.com/company/pplweb,PPL Corp
https://www.owler.com/company/keyera,Keyera Corp
https://www.owler.com/company/enagas,"Enagás, SA"
https://www.owler.com/company/hkelectric,HK Electric Investments & HK Electric Investments Ltd
https://www.owler.com/company/aes,The AES Corp
https://www.owler.com/company/parklandfuel,Parkland Corp
https://www.owler.com/company/ypf,YPF Sociedad Anonima
https://www.owler.com/company/portlandgeneral,Portland General Electric Co
https://www.owler.com/company/meridianenergy,Meridian Energy Ltd
https://www.owler.com/company/callon,Callon Petroleum Co
